gamma,q,R_appendix,R_main,diff
0.1,-10.0,302.0134,100.02,201.9934
0.1,-9.0,281.8121,100.018,181.7941
0.1,-8.0,261.6107,100.016,161.5947
0.1,-7.0,241.4094,100.014,141.3954
0.1,-6.0,221.208,100.012,121.196
0.1,-5.0,201.0067,100.01,100.9967
0.1,-4.0,180.8054,100.008,80.7974
0.1,-3.0,160.604,100.006,60.598
0.1,-2.0,140.4027,100.004,40.3987
0.1,-1.0,120.2013,100.002,20.1993
0.1,0.0,100.0,100.0,0.0
0.1,1.0,79.7987,99.998,-20.1993
0.1,2.0,59.5973,99.996,-40.3987
0.1,3.0,39.396,99.994,-60.598
0.1,4.0,19.1946,99.992,-80.7974
0.1,5.0,-1.0067,99.99,-100.9967
0.1,6.0,-21.208,99.988,-121.196
0.1,7.0,-41.4094,99.986,-141.3954
0.1,8.0,-61.6107,99.984,-161.5947
0.1,9.0,-81.8121,99.982,-181.7941
0.1,10.0,-102.0134,99.98,-201.9934
0.01,-10.0,120.2013,100.002,20.1993
0.01,-9.0,118.1812,100.0018,18.1794
0.01,-8.0,116.1611,100.0016,16.1595
0.01,-7.0,114.1409,100.0014,14.1395
0.01,-6.0,112.1208,100.0012,12.1196
0.01,-5.0,110.1007,100.001,10.0997
0.01,-4.0,108.0805,100.0008,8.0797
0.01,-3.0,106.0604,100.0006,6.0598
0.01,-2.0,104.0403,100.0004,4.0399
0.01,-1.0,102.0201,100.0002,2.0199
0.01,0.0,100.0,100.0,0.0
0.01,1.0,97.9799,99.9998,-2.0199
0.01,2.0,95.9597,99.9996,-4.0399
0.01,3.0,93.9396,99.9994,-6.0598
0.01,4.0,91.9195,99.9992,-8.0797
0.01,5.0,89.8993,99.999,-10.0997
0.01,6.0,87.8792,99.9988,-12.1196
0.01,7.0,85.8591,99.9986,-14.1395
0.01,8.0,83.8389,99.9984,-16.1595
0.01,9.0,81.8188,99.9982,-18.1794
0.01,10.0,79.7987,99.998,-20.1993
0.5,-10.0,1110.067,100.1,1009.967
0.5,-9.0,1009.0603,100.09,908.9703
0.5,-8.0,908.0536,100.08,807.9736
0.5,-7.0,807.0469,100.07,706.9769
0.5,-6.0,706.0402,100.06,605.9802
0.5,-5.0,605.0335,100.05,504.9835
0.5,-4.0,504.0268,100.04,403.9868
0.5,-3.0,403.0201,100.03,302.9901
0.5,-2.0,302.0134,100.02,201.9934
0.5,-1.0,201.0067,100.01,100.9967
0.5,0.0,100.0,100.0,0.0
0.5,1.0,-1.0067,99.99,-100.9967
0.5,2.0,-102.0134,99.98,-201.9934
0.5,3.0,-203.0201,99.97,-302.9901
0.5,4.0,-304.0268,99.96,-403.9868
0.5,5.0,-405.0335,99.95,-504.9835
0.5,6.0,-506.0402,99.94,-605.9802
0.5,7.0,-607.0469,99.93,-706.9769
0.5,8.0,-708.0536,99.92,-807.9736
0.5,9.0,-809.0603,99.91,-908.9703
0.5,10.0,-910.067,99.9,-1009.967
